lane	id	start	end	depthm	depthmi	desc	quote	imgName	imgSource	furtherReading
0	Little Ice Age	1500	1650	-178	-0.11	<p>The Little Ice Age was a period of widespread cooling that permeated the fabric of culture and society in Europe and North America. While its causes are still unclear, its devastating effects are well-documented, having resulted in shorter crop seasons, frequent food shortages, and famine. In Northern Europe, rapid glacial advance destroyed entire villages. Locally, the deeply frozen Hudson River enabled ‘commuting by sleigh’. Writers and artists responded to the Little Ice Age with an explosion of work depicting winter scenes, which were generally romanticized and did not depict the hardships of the lower class.</p>	The Little Ice Age was a period of widespread cooling that permeated the fabric of culture and society in Europe and North America.	The Hunters in the Snow by Pieter Bruegel the Elder	© Cäcilia Bischoff, Masterpieces of the Picture Gallery. A Brief Guide to the Kunsthistorisches Museum, Vienna 2010	
2	Pytheas reaches Far North	-330	0	-535	-0.33	<p>Around 330 BCE, the Greek geographer Pytheas embarked on a voyage that would take him to the Arctic Circle – nearly 2000 miles from his home in Marseille. Pytheas was the first to describe Arctic phenomena like the midnight sun, the aurora, and floating sea ice in writing, and he used novel measurement tools to precisely record latitude and tidal variability. Pytheas named the landmass he reached (likely present-day Iceland or Norway) ‘Thule,’ meaning the land beyond all known lands. His momentous volume, On the Ocean, remained the only first-hand account of its kind for centuries, widely referred to by scholars in Ancient Greece as a feat of science and exploration, but which has now been lost.</p>	Pytheas was the first to describe Arctic phenomena like the midnight sun, the aurora, and floating sea ice in writing.			
1	Greek depiction of Hyperborea	-440	-340	-556.48	-0.35	<p>The Ancient Greeks developed a profound understanding of the natural world through astronomy, mathematics, and exploration, yet the “Far North” remained just out of reach, made inaccessible by frigid air and a turbulent ocean. Appearing first in myth and later in texts by Herodotus, a 5th century BCE historian, the Greeks believed that the lost continent of “Hyperborea” lay beyond the North Wind. Hyperborea, a place free of war and illuminated by eternal sunlight, is perhaps the first example of the western world’s fascination with the Arctic as a place of strange, other-worldliness – a portal to the unknown. The legend resurfaced in later European cultures, as shown by a 16th century map depicting Hyperborea by famed cartographer Gerard Mercator.</p>	Hyperborea, a place free of war and illuminated by eternal sunlight, is perhaps the first example of the western world’s fascination with the Arctic as a place of strange, other-worldliness.	Gerard Mercator's map of the Arctic, 1595	Credit: Helmink Antique Maps	
2	First humans in Greenland	-3000	-2000	-984.61	-0.61	<p>Little is known about the first people to inhabit Greenland, whose survival at the margins of habitability is both awe-inspiring and reflective of human’s capacity to overcome adversity. Genetic evidence suggests that the ancestors of these early Greenlanders came across Canada from Siberia, reaching Greenland over four thousand years ago. The oldest work of art that has been traced back to Arctic inhabitants is a 3700-year old small, ivory maskette. Sculptures like this were often tiny so that they could be carried from place to place by their nomadic owners. This maskette was discovered on Devon Island in the Arctic Archipelago, a mosaic of islands between mainland Canada and Greenland that would have been traversed by early Arctic pioneers. Over the next several thousand years, at least six distinct cultures migrated to and settled in Greenland.</p>	Recent evidence suggests that the ancestors of these early Greenlanders came across Canada from Siberia, reaching Greenland over four thousand years ago.	Early Dorset mask	Credit: © Tim Rast, Elfshot	National Geographic, <a href="https://news.nationalgeographic.com/news/2010/02/100210-ancient-human-dna-hair-saqqaq-inuk/">Face of Ancient Human Drawn From Hair's DNA</a><br>Canadian Museum of History, <a href="http://www.historymuseum.ca/cmc/exhibitions/tresors/ethno/et0354be.shtml">Gateway to Aboriginal History</a>
2	Sea level Stabilization	-5000	-4000	-1253.07	-0.78	<p>After the Last Glacial Maximum, gradual warming of the climate and thawing of ice over land opened up migratory routes that facilitated prehistoric human settlement on new continents. At the dawn of our current interglacial period, ice levels reached a new equilibrium. As melting slowed, sea levels stabilized, as did the coastlines that human society has relied on since the beginning of advanced civilization.</p>	Gradual warming of the climate and thawing of ice over land opened up migratory routes that facilitated prehistoric human settlement on new continents.			The Conversation, <a href="https://theconversation.com/first-americans-lived-on-land-bridge-for-thousands-of-years-genetics-study-suggests-23747">First Americans lived on land bridge for thousands of years, genetics study suggests</a><br>Earth and Space Science News, <a href="http://onlinelibrary.wiley.com/doi/10.1029/2007EO150001/abstract">Emergence of Complex Societies After Sea Level Stabilized</a>
0	Younger Dryas	-12500	-9500	-1702	-1.06	<p>During Earth’s slow transition from the Last Glacial Period to today’s warmer interglacial, there was an unexpected departure known as the Younger Dryas. Northern Hemispheric temperatures became much cooler, then slowly began to rise again. The end of the Younger Dryas is marked by a local warming of 10º C in just 10 years, which was recorded by oxygen isotopes in Greenland ice GISP2. A hotly contested subject, some researchers believe that the Younger Dryas was caused by a meteor impact and have identified rare metal anomalies in Greenland ice cores as evidence, while others believe that it was due to a brief slowdown of the Atlantic thermohaline cycle caused by a pulse of glacial freshwater.</p>	The end of the Younger Dryas is marked by a local warming of 10º C in just 10 years, which was recorded by oxygen isotopes in Greenland ice GISP2.	Map of Northern Hemisphere glacial extent during the Younger Dryas event (12.6 kya)	© Ron Blakey	Scientific American, <a href="The Younger Dryas Impact Hypothesis">The Younger Dryas Impact Hypothesis</a><br>National Oceanic and Atmospheric Administration, <a href="https://www.ncdc.noaa.gov/abrupt-climate-change/The%20Younger%20Dryas">The Younger Dryas</a>
0	Last Glacial Maximum	-20000	-18000	-1961	-1.22	<p>For the past 2.6 million years, Earth has regularly cycled between glacial and interglacial periods. Modern climate change is categorically different from Earth’s glacial cycles, which are driven by slow, predictable variations in Earth’s orbit, especially when continental land areas are in the polar regions. The peak of the last glacial period occurred 22,000 years ago and was characterized by massive ice sheets covering most of Canada and Northern Europe.</p>	The peak of the last glacial period occurred 22,000 years ago and was characterized by massive ice sheets covering most of Canada and Northern Europe.			
0	Last Interglacial	-130000	-120000	-2952	-1.83	<p>In earth science, ice ages can last for millions of years with alternating glacial and interglacial periods. The most recent interglacial (not including the present) ended 120 thousand years ago. It is believed that Earth was about 2ºC warmer on average than today’s climate, but unlike modern global warming, the tropics stayed relatively cool due to weak oceanic circulation.</p>	It is believed that Earth was about 2ºC warmer on average than today’s climate.			
0	Oldest GISP2 Ice	-237000	-180000	-3024	-1.88	<p>Beneath the upper 2750 meters of the GISP2 ice core, which is continuous for nearly 110,000 years, lies 300 meters of disturbed ice. Despite the mixing that is present in this final section, the ice has been accurately dated from measurements of ancient oxygen and methane trapped within. The oldest ice found here is at least <a href="http://onlinelibrary.wiley.com/doi/10.1029/2005JD006032/abstract">237 thousand years old</a>. Although this ice must have survived the last interglacial 130 thousand years ago, no new ice was deposited for ten thousand years around that time due to a warming climate.</p>	Beneath the upper 2750 meters of the GISP2 ice core, which is continuous for nearly 110,000 years, lies a section of disturbed ice. The oldest ice found here is at least 237 thousand years old.	Dirty ice	© Paul Bierman, University of Vermont	
0	Formation of Greenland Ice Sheet	-1000000	-600000	1	1	<p>Three million years ago, atmospheric carbon dioxide (CO2) levels plummeted, coinciding with around 3˚C of global cooling. The decrease of atmospheric CO2 – from around 400 parts per million (ppm) to 200 ppm – is of the same magnitude as the change from preindustrial to modern times, but it occurred over hundreds of thousands of years. This reduction in CO2 and temperature resulted in the formation of a vast ice sheet covering Greenland and adjacent Canada, which had been mainly ice-free for 30 million years. Today, the oldest ice present in the Greenland ice sheet could be more than two million years old.</p>	Three million years ago, atmospheric carbon dioxide (CO2) levels plummeted, coinciding with around 3˚C of global cooling. This resulted in the formation of a vast ice sheet covering Greenland, which had been mainly ice-free for 30 million years.			Ars Technica, <a href="https://arstechnica.com/science/2016/08/how-old-is-mystery-ice-from-the-base-of-greenlands-ice-sheet/">How old is mystery ice from the base of Greenland’s ice sheet?</a><br>Science Magazine, <a href="http://science.sciencemag.org/content/309/5735/758">Permanent El Niño-Like Conditions During the Pliocene Warm Period</a><br>Science Magazine, <a href="http://science.sciencemag.org/content/326/5958/1394">Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years</a><br>Nature, <a href="https://www.nature.com/articles/nature07223">Late Pliocene Greenland glaciation controlled by a decline in atmospheric CO2 levels</a>
